file,onX,onY,macX,macY
007-3489-200.jpg,540,828,1129,961
007-4433-200.jpg,662,686,1148,806
007-6449-400.jpg,1628,836,1035,921
007-6450-400.jpg,1004,821,1582,947
007-6524-400.jpg,1681,988,990,1035
007-6554-400.jpg,1603,835,1014,924
007-6568-400.jpg,718,1046,1234,1143
007-6591-400.jpg,942,820,1523,892
007-6637-400.jpg,1226,1323,2080,1405
007-6649-400.jpg,1679,1728,2554,1869
007-6683-400.jpg,1063,694,545,743
007-6734-400.jpg,1101,1150,1888,1359
007-6811-400.jpg,1705,801,1098,901
007-6896-400.jpg,1057,810,1768,875
007-6576-400.jpg,1638,866,1010,894
007-6908-400.jpg,1800,801,1148,930
007-6912-400.jpg,1418,702,878,797
007-7014-400.jpg,2581,1168,1600,1401
007-7017-400.jpg,1188,1370,2021,1396
007-7018-400.jpg,2740,1382,1800,1495
007-7111-400.jpg,2294,902,1380,942
007-7125-400.jpg,271,740,733,778
007-7132-400.jpg,1338,647,844,710
007-7146-400.jpg,1204,559,679,636
007-7175-400.jpg,2531,1950,1199,1987
007-7217-400.jpg,1047,1031,1816,1161
007-7219-400.jpg,1621,945,1011,914
007-6525-400.jpg,824,711,1430,821
007-5625-300.jpg,954,710,448,753
007-5892-300.jpg,1633,887,970,913
007-6320-400.jpg,2002,1083,1106,1272
007-6335-400.jpg,1510,854,892,878
007-6361-400.jpg,714,1218,1625,1247
007-6363-400.jpg,938,1052,1834,1280
007-6383-400.jpg,1281,656,762,634
007-6392-400.jpg,1947,794,1336,886
007-6475-400.jpg,1583,734,1010,933
007-6505-400.jpg,613,749,1029,794
007-6519-400.jpg,1938,963,1373,1046
007-6520-400.jpg,1738,944,1086,974
007-6545-400.jpg,1478,1407,2633,1577
007-6547-400.jpg,676,710,1202,816
007-6551-400.jpg,1680,910,1087,1048
007-6562-400.jpg,961,844,1552,904
007-6573-400.jpg,1621,815,1007,898
007-6577-400.jpg,1692,881,987,891
007-6590-400.jpg,1699,751,1068,899
007-6606-400.jpg,2082,890,1247,1018
007-6608-400.jpg,2192,996,1307,1026
007-6612-400.jpg,461,862,1259,997
007-6615-400.jpg,2091,897,1262,1032
007-6674-400.jpg,446,651,942,756
007-6676-400.jpg,795,720,253,798
007-6686-400.jpg,1171,756,643,802
007-6713-400.jpg,322,606,829,682
007-6717-400.jpg,276,555,808,693
007-6721-400.jpg,1136,832,582,780
007-6722-400.jpg,265,632,832,729
007-6815-400.jpg,1683,819,1033,924
007-6847-400.jpg,995,860,1566,925
007-6894-400.jpg,1018,834,1617,949
007-6926-400.jpg,1495,620,973,716
007-6957-400.jpg,1287,634,762,710
007-7019-400.jpg,967,1232,1798,1433
007-7023-400.jpg,1295,1183,2091,1403
007-7025-400.jpg,990,1094,1846,1278
007-7210-400.jpg,2259,1276,1390,1333
007-7232-400.jpg,668,508,1152,606
007-7235-400.jpg,598,628,1137,713
007-7236-400.jpg,1266,634,666,723
007-7253-400.jpg,1621,841,1011,910
007-7265-400.jpg,1700,769,954,848
20170514222317943.jpg,1830,899,1147,952
007-7176-400.jpg,900,1599,1923,1750
